Nama Jalan,Latitude,Longtitude,Lajur,Waktu,Hari,Tanggal,MOTOR,MOBIL,BUS/TRUK,JUMLAH,HEADWAY(s),GAP(s),85 P SPEED (Km/Jam),AVG. SPEED (Km/Jam),OCCUPANCY (%),LEBAR JALAN (m),PANJANG ANTRIAN (m)
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,SENIN,11-04-2022 12:00,358,660,402,1420,1.81,5.54,40.00,18.31,49.36,22,390
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,SELASA,26-04-2022 12:00,466,934,81,1481,0.24,1.90,39.25,25.50,49.33,14,390
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KANAN,PAGI,RABU,27-04-2022 07:00,515,368,145,1028,1.28,2.16,46.00,33.00,49.31,6,390
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SIANG,JUMAT,22-04-2022 12:00,873,655,423,1951,0.19,1.83,41.25,29.69,49.30,21,390
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SIANG,SABTU,16-04-2022 12:00,314,567,167,1048,0.32,4.82,30.00,21.63,49.29,21,390
SP. SAMSAT,-6.945438,107.641889,Belok kanan,SIANG,SELASA,19-04-2022 12:00,515,858,741,2114,1.57,4.60,29.75,14.12,49.28,21,390
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SORE,KAMIS,21-04-2022 16:00,505,1013,274,1792,0.55,13.10,30.50,11.56,49.26,21,390
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SENIN,04-04-2022 16:00,522,1163,200,1885,0.33,2.91,30.25,14.75,49.25,21,390
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SORE,SENIN,18-04-2022 16:00,450,971,295,1716,1.08,7.52,30.50,16.62,49.25,21,390
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SIANG,SELASA,19-04-2022 12:00,318,359,43,720,0.48,6.09,35.25,16.62,49.24,21,390
SP. CIBEREUM,-6.917224,107.574382,LURUS,SIANG,SENIN,04-04-2022 12:00,1939,1063,335,3337,0.00,0.40,36.25,24.69,49.23,9.5,390
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,MINGGU,17-04-2022 16:00,199,301,86,586,0.68,5.61,44.25,18.56,49.23,7.2,390
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,RABU,13-04-2022 12:00,231,717,69,1017,0.92,4.61,29.50,12.92,49.21,14,390
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SIANG,RABU,20-04-2022 12:00,220,1149,693,2062,0.73,4.34,56.00,10.25,49.21,22,390
SP. PASTEUR,-6.892133857,107.5811173,Lurus,SORE,SELASA,19-04-2022 16:00,153,799,264,1216,1.37,4.97,31.75,12.25,49.18,14,390
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,PAGI,JUMAT,01-04-2022 7:00,306,71,10,387,3.14,7.28,45.00,25.94,49.17,7.2,390
SP. CIBEREUM,-6.917224,107.574382,LURUS,PAGI,RABU,13-04-2022 07:00,2365,657,163,3185,0.00,0.62,54.50,27.06,49.16,9.5,390
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SORE,MINGGU,17-04-2022 16:00,246,699,31,976,0.43,3.45,27.50,14.49,49.16,14,390
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,JUMAT,08-04-2022 12:00,543,606,202,1351,0.16,2.05,41.25,28.56,49.15,12.5,390
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,305,720,223,1248,0.32,5.32,36.25,21.81,49.15,22,390
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,SABTU,09-04-2022 12:00,309,797,183,1289,0.69,13.22,32.50,14.88,49.15,21,390
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,JUMAT,29-04-2022 16:00,733,953,683,2369,0.52,1.79,120.75,46.00,49.14,9.5,390
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,MINGGU,10-04-2022 16:00,576,313,92,981,0.30,2.52,47.00,29.44,49.14,12.5,390
SP. PASTEUR,-6.892133857,107.5811173,Lurus,SIANG,KAMIS,21-04-2022 12:00,143,884,179,1206,0.93,12.62,36.50,21.50,49.12,14,390
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,JUMAT,29-04-2022 12:00,801,1642,131,2574,0.00,2.07,42.00,21.38,49.12,14,390
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,JUMAT,01-04-2022 12:00,390,726,269,1385,0.43,3.75,29.25,14.56,49.12,21,390
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,RABU,27-04-2022 16:00,705,1013,226,1944,0.15,2.25,30.75,13.75,49.12,21,390
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,SIANG,JUMAT,29-04-2022 12:00,144,529,38,711,0.32,2.02,61.75,25.75,49.11,14,390
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,342,698,354,1394,0.58,2.48,36.25,24.00,49.11,22,390
SP. SAMSAT,-6.945438,107.641889,Belok kanan,SIANG,JUMAT,22-04-2022 12:00,253,556,612,1421,1.36,5.11,30.75,14.62,49.11,21,390
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SORE,JUMAT,29-04-2022 16:00,406,1645,604,2655,0.07,1.16,31.25,14.06,49.11,21,390
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,PAGI,KAMIS,07-04-2022 7:00,691,333,105,1129,0.19,2.99,40.25,21.06,49.10,7.2,390
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SENIN,25-04-2022 16:00,229,717,246,1192,2.05,5.28,35.25,19.88,49.10,22,390
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SIANG,RABU,27-04-2022 12:00,302,591,135,1028,4.23,7.11,41.25,23.31,49.08,7.2,390
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,KAMIS,07-04-2022 12:00,1003,772,622,2397,0.03,2.05,43.25,29.44,49.08,21,390
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,JUMAT,15-04-2022 12:00,317,692,200,1209,0.35,6.21,46.25,23.88,49.07,21,390
SP. PASTEUR,-6.892133857,107.5811173,Lurus,SORE,RABU,20-04-2022 16:00,171,1019,97,1287,0.86,3.11,41.50,12.50,49.07,14,390
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kiri,SIANG,MINGGU,24-04-2022 07:00,279,286,62,627,4.71,9.80,40.50,25.56,49.05,14,390
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SIANG,KAMIS,14-04-2022 12:00,233,737,256,1226,2.03,8.13,47.75,22.81,49.05,7.2,390
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,PAGI,JUMAT,29-04-2022 07:00,1664,436,49,2149,1.28,1.91,47.75,36.12,49.04,21,390
SP. CIBEREUM,-6.917224,107.574382,Belok kiri,SIANG,SELASA,19-04-2022 12:00,621,504,181,1306,1.39,3.10,40.25,24.19,49.04,9.5,390
SP. CIBEREUM,-6.917224,107.574382,BELOK KIRI,SORE,SENIN,04-04-2022 16:00,1033,418,111,1562,0.61,2.96,35.00,27.31,49.03,9.5,390
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SORE,SELASA,05-04-2022 16:00,656,896,57,1609,0.35,2.73,43.75,26.12,49.03,14,390
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,PAGI,SELASA,19-04-2022 16:00,204,1051,622,1877,0.00,3.83,64.50,21.56,49.02,22,390
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,PAGI,SABTU,09-04-2022 7:00,1009,201,152,1362,0.26,1.70,50.25,34.44,49.01,12.5,390
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SIANG,JUMAT,22-04-2022 12:00,339,408,193,940,2.39,5.52,30.00,20.63,49.01,21,390
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS,SORE,SABTU,16-04-2022 16:00,592,940,97,1629,0.93,1.67,53.25,35.56,49.00,14,390
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SIANG,SENIN,04-04-2022 12:00,253,314,225,792,1.79,3.75,46.50,24.19,48.94,7.2,390
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,14-04-2022 07:00,2737,1047,199,3983,0.08,0.84,56.50,40.69,48.93,21,390
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,JUMAT,01-04-2022 16:00,857,694,170,1721,0.19,3.17,40.00,21.81,48.92,12.5,390
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS KIRI,SORE,SELASA,26-04-2022 16:00,672,946,93,1711,0.91,1.98,48.75,30.62,48.88,14,390
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,1039,1575,177,2791,0.21,1.88,44.75,19.69,48.87,14,390
SP. CIBEREUM,-6.917224,107.574382,Lurus,PAGI,SELASA,19-04-2022 07:00,2119,684,193,2996,0.11,1.13,36.25,22.50,48.85,9.5,390
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,JUMAT,01-04-2022 12:00,307,778,51,1136,2.48,3.94,38.00,21.25,48.85,14,390
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SORE,SABTU,23-04-2022 16:00,195,1247,597,2039,0.25,4.17,56.00,19.69,48.83,22,390
SP. CIBEREUM,-6.917224,107.574382,Belok kiri,SIANG,JUMAT,22-04-2022 12:00,462,447,105,1014,1.74,3.88,36.00,23.81,48.82,9.5,390
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,PAGI,SABTU,02-04-2022 7:00,896,1256,320,2472,0.06,0.77,55.75,27.25,48.82,14,390
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,RABU,13-04-2022 16:00,2740,106,312,3158,0.06,0.49,45.00,33.12,48.82,21,390
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,MINGGU,17-04-2022 16:00,1954,1261,193,3408,0.25,1.00,35.00,26.25,48.80,9.5,390
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,JUMAT,08-04-2022 12:00,283,616,49,948,3.00,5.65,36.25,19.25,48.80,14,390
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,PAGI,MINGGU,24-04-2022 16:00,401,343,207,951,3.15,7.95,44.25,29.25,48.80,22,390
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,SABTU,16-04-2022 16:00,858,844,590,2292,0.36,1.87,115.00,48.81,48.79,9.5,380
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,SIANG,RABU,06-04-2022 12:00,1272,775,137,2184,0.19,1.80,52.50,33.56,48.76,21,380
SP. CIBEREUM,-6.917224,107.574382,BELOK KIRI,PAGI,SELASA,26-04-2022 07:00,711,391,49,1151,0.62,2.02,36.00,25.81,48.76,9.5,380
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SENIN,25-04-2022 16:00,388,789,172,1349,0.81,7.34,31.00,10.62,48.76,21,380
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KIRI,PAGI,SELASA,12-04-2022 7:00,3254,799,143,4196,0.02,1.23,40.00,28.50,48.76,6,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,JUMAT,08-04-2022 12:00,166,705,24,895,0.50,3.54,28.75,15.70,48.75,14,380
SP. PASIR KALIKI,-6.900525,107.597353,Lurus kanan,SIANG,RABU,20-04-2022 12:00,438,967,90,1495,1.26,3.75,37.75,23.06,48.73,14,380
SP. ISTANA PLAZA,-6.906442307,107.5975451,Belok kiri,SIANG,SELASA,19-04-2022 12:00,541,276,12,829,0.44,3.12,75.75,53.56,48.72,14,380
SP. CIBEREUM,-6.917224,107.574382,Lurus,SORE,SABTU,23-04-2022 16:00,894,932,560,2386,0.22,1.83,122.75,59.88,48.71,9.5,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,PAGI,SABTU,02-04-2022 7:00,376,438,51,865,0.90,2.26,37.00,17.25,48.70,14,380
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KANAN,SIANG,SENIN,18-04-2022 12:00,431,601,231,1263,1.15,9.36,43.25,24.50,48.70,6,380
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,PAGI,SABTU,09-04-2022 7:00,1087,600,75,1762,0.50,1.62,44.75,28.44,48.67,14,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SORE,SELASA,12-04-2022 16:00,732,881,78,1691,0.25,1.51,40.00,22.88,48.62,14,380
SP. ISTANA PLAZA,-6.906442307,107.5975451,Lurus kiri,SIANG,SELASA,19-04-2022 07:00,403,755,177,1335,0.06,5.11,56.00,29.50,48.60,14,380
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS,PAGI,SABTU,30-04-2022 07:00,147,331,36,514,2.53,4.77,119.00,67.00,48.59,14,380
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SIANG,JUMAT,29-04-2022 12:00,344,785,461,1590,1.67,4.23,30.25,13.00,48.58,21,380
SP. CIBEREUM,-6.917224,107.574382,Lurus kanan,SORE,RABU,20-04-2022 16:00,845,478,174,1497,0.63,1.75,38.00,26.56,48.57,9.5,380
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,539,477,255,1271,0.79,2.38,43.25,26.06,48.57,22,380
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,KAMIS,28-04-2022 12:00,833,1152,211,2196,0.36,1.35,42.25,19.50,48.56,21,380
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,KAMIS,14-04-2022 16:00,2037,1329,313,3679,0.01,0.65,40.00,23.31,48.56,9.5,380
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,413,433,270,1116,0.23,7.97,42.50,28.12,48.54,22,380
SP. CIBEREUM,-6.917224,107.574382,LURUS KANAN,SORE,SABTU,16-04-2022 16:00,1366,765,59,2190,0.05,0.69,49.75,29.50,48.51,9.5,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,MINGGU,17-04-2022 12:00,162,825,5,992,0.45,2.57,27.00,9.40,48.50,14,380
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SORE,SELASA,26-04-2022 16:00,639,1098,419,2156,0.07,2.56,31.75,16.62,48.50,21,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SIANG,SENIN,18-04-2022 12:00,202,645,150,997,0.00,4.75,43.50,18.69,48.48,7.2,380
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SABTU,09-04-2022 16:00,391,999,247,1637,0.33,1.78,29.50,13.25,48.48,21,380
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,586,466,278,1330,0.01,3.23,41.50,27.25,48.47,22,380
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SORE,MINGGU,10-04-2022 16:00,261,1055,384,1700,0.17,2.37,27.50,18.50,48.45,21,380
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KANAN,SORE,SELASA,12-04-2022 16:00,931,534,134,1599,0.58,4.35,42.75,31.00,48.43,6,380
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KIRI,PAGI,KAMIS,28-04-2022 07:00,538,251,8,797,0.72,2.85,94.25,53.62,48.40,14,380
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,RABU,13-04-2022 07:00,172,1039,545,1756,0.26,7.18,65.00,20.25,48.40,22,380
SP. GEDE BAGE,-6.937128,107.692583,Belok kiri,PAGI,SABTU,23-04-2022 07:00,398,28,26,452,1.35,5.50,35.50,24.62,48.38,7.2,380
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,PAGI,KAMIS,28-04-2022 07:00,259,824,311,1394,0.14,3.42,30.00,16.88,48.38,21,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SORE,RABU,06-04-2022 16:00,261,692,18,971,1.19,6.98,29.00,10.99,48.36,14,380
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SABTU,30-04-2022 16:00,354,826,260,1440,0.68,3.51,31.25,15.31,48.36,22,380
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SIANG,MINGGU,24-04-2022 07:00,329,467,71,867,0.48,4.15,26.75,21.07,48.35,21,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,SELASA,05-04-2022 16:00,290,238,222,750,4.24,5.84,48.25,25.50,48.34,7.2,380
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SABTU,02-04-2022 16:00,859,720,110,1689,0.05,1.19,39.00,19.75,48.34,12.5,380
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,SELASA,05-04-2022 12:00,796,709,239,1744,0.11,1.47,40.00,25.19,48.34,12.5,380
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SORE,KAMIS,21-04-2022 16:00,269,1284,880,2433,0.23,2.12,51.00,16.88,48.34,22,380
SP. CIBEREUM,-6.917224,107.574382,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,907,412,76,1395,0.78,1.74,35.00,28.81,48.33,9.5,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,284,728,172,1184,0.87,2.36,40.50,16.81,48.29,7.2,380
SP. CIBEREUM,-6.917224,107.574382,LURUS,SIANG,SELASA,12-04-2022 12:00,615,782,617,2014,0.24,2.25,128.50,63.88,48.25,9.5,380
SP. CIBEREUM,-6.917224,107.574382,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,839,523,183,1545,0.42,1.51,36.00,22.62,48.24,9.5,380
SP. GEDE BAGE,-6.937128,107.692583,Lurus kanan,PAGI,SELASA,19-04-2022 07:00,307,292,188,787,2.61,9.28,53.75,26.06,48.23,7.2,380
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SORE,SENIN,18-04-2022 16:00,1109,377,90,1576,0.05,1.52,40.75,19.50,48.23,12.5,380
SP. PASIR KALIKI,-6.900525,107.597353,Lurus kanan,SIANG,JUMAT,22-04-2022 12:00,213,717,60,990,0.93,7.24,29.00,15.02,48.23,14,380
SP. CIBEREUM,-6.917224,107.574382,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,834,433,137,1404,0.14,1.52,36.75,24.44,48.22,9.5,380
SP. CIBEREUM,-6.917224,107.574382,BELOK KIRI,SORE,MINGGU,10-04-2022 16:00,635,522,72,1229,0.76,2.45,35.00,21.69,48.20,9.5,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,SENIN,18-04-2022 16:00,257,223,127,607,2.91,13.36,49.00,26.94,48.19,7.2,380
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SIANG,SABTU,09-04-2022 12:00,550,321,106,977,1.12,3.46,40.00,32.38,48.19,12.5,380
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,JUMAT,01-04-2022 16:00,585,1193,193,1971,0.25,2.25,30.00,13.62,48.17,21,380
SP. GEDE BAGE,-6.937128,107.692583,Belok kiri,PAGI,KAMIS,21-04-2022 07:00,336,86,23,445,1.28,7.03,46.25,26.25,48.16,7.2,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,RABU,27-04-2022 12:00,540,1126,89,1755,0.29,10.40,36.75,19.69,48.16,14,380
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SORE,SELASA,19-04-2022 12:00,209,1078,646,1933,0.41,5.32,57.75,22.75,48.16,22,380
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,RABU,13-04-2022 12:00,345,730,573,1648,0.45,3.96,54.75,13.00,48.14,21,380
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,SIANG,JUMAT,01-04-2022 12:00,907,813,147,1867,0.07,0.96,51.50,39.12,48.13,21,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,355,553,208,1116,0.90,2.72,49.50,17.31,48.07,7.2,380
SP. UJUNG BERUNG,-6.914068,107.699412,Lurus kanan,SIANG,KAMIS,21-04-2022 12:00,481,520,228,1229,0.44,4.31,44.00,31.94,48.07,6,380
SP. PASTEUR,-6.892133857,107.5811173,LURUS,PAGI,SENIN,25-04-2022 07:00,138,802,143,1083,1.30,8.12,44.25,27.19,48.06,14,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,255,290,70,615,2.84,7.71,45.00,24.69,48.04,7.2,380
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,PAGI,JUMAT,08-04-2022 7:00,440,319,81,840,2.13,7.51,50.75,36.56,47.97,14,380
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KIRI,SORE,KAMIS,07-04-2022 16:00,1025,217,51,1293,0.19,1.40,39.25,31.19,47.96,14,380
SP. PASTEUR,-6.892133857,107.5811173,Lurus,PAGI,SELASA,19-04-2022 07:00,141,913,122,1176,1.58,4.28,42.00,25.19,47.96,14,380
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SIANG,MINGGU,10-04-2022 12:00,590,346,56,992,0.17,1.41,43.75,28.19,47.94,12.5,380
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,PAGI,JUMAT,29-04-2022 07:00,1410,196,86,1692,0.36,1.76,45.00,30.69,47.94,12.5,380
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,SENIN,25-04-2022 12:00,432,531,212,1175,0.64,2.81,44.00,21.62,47.94,22,380
SP. CIBEREUM,-6.917224,107.574382,LURUS,SIANG,SENIN,11-04-2022 12:00,656,785,767,2208,0.37,1.26,124.75,57.00,47.93,9.5,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,282,274,139,695,1.15,5.74,45.50,30.50,47.89,7.2,380
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,MINGGU,03-04-2022 12:00,617,1843,144,2604,0.02,1.79,41.50,23.56,47.89,12.5,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SORE,SENIN,04-04-2022 16:00,325,703,25,1053,1.10,3.07,31.25,13.73,47.89,14,380
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,RABU,06-04-2022 12:00,941,870,351,2162,0.12,1.30,46.50,38.44,47.89,21,380
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,PAGI,RABU,27-04-2022 07:00,576,47,3,626,1.62,6.78,49.25,25.00,47.88,7.2,380
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SABTU,09-04-2022 7:00,426,332,115,873,0.73,3.96,31.50,17.72,47.87,21,380
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,794,418,150,1362,0.29,1.64,42.75,33.06,47.87,6,380
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KANAN,SIANG,SABTU,02-04-2022 12:00,674,529,177,1380,0.31,2.56,48.25,29.50,47.82,6,380
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,406,632,75,1113,0.09,5.47,39.50,18.69,47.81,14,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,RABU,06-04-2022 16:00,677,578,86,1341,0.45,1.29,25.00,12.19,47.80,7.2,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SORE,RABU,06-04-2022 16:00,677,578,86,1341,0.45,1.29,25.00,12.19,47.80,7.2,380
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SORE,RABU,13-04-2022 16:00,463,869,630,1962,2.01,5.02,30.00,12.31,47.80,21,380
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,475,336,128,939,0.80,3.06,37.50,22.19,47.79,7.2,370
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS KIRI,PAGI,SENIN,18-04-2022 07:00,881,864,174,1919,0.08,0.98,54.50,31.44,47.79,14,370
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,RABU,13-04-2022 12:00,715,767,279,1761,0.33,7.07,42.50,20.00,47.77,21,370
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,PAGI,RABU,13-04-2022 07:00,505,728,36,1269,0.20,6.29,37.25,15.81,47.77,14,370
SP. CIBEREUM,-6.917224,107.574382,Lurus,PAGI,RABU,20-04-2022 07:00,1094,771,544,2409,0.12,1.37,126.25,70.44,47.76,9.5,370
SP. CIBEREUM,-6.917224,107.574382,Lurus,SORE,MINGGU,24-04-2022 12:00,802,945,458,2205,0.70,3.75,118.00,49.06,47.76,9.5,370
SP. PASTEUR,-6.892133857,107.5811173,LURUS,PAGI,SENIN,04-04-2022 7:00,135,773,77,985,1.11,4.81,43.00,29.19,47.75,14,370
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,SORE,SELASA,12-04-2022 16:00,280,108,27,415,9.59,11.31,47.75,22.94,47.74,7.2,370
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SORE,SABTU,23-04-2022 16:00,473,438,189,1100,0.02,1.59,30.25,17.05,47.73,21,370
SP. CIBEREUM,-6.917224,107.574382,BELOK KIRI,SIANG,SELASA,05-04-2022 12:00,568,470,123,1161,1.14,3.13,32.25,23.81,47.72,9.5,370
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,PAGI,JUMAT,08-04-2022 7:00,394,74,18,486,0.67,5.90,52.00,25.25,47.72,7.2,370
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,PAGI,KAMIS,14-04-2022 07:00,512,805,58,1375,0.21,3.57,30.50,15.78,47.72,14,370
SP. ISTANA PLAZA,-6.906442307,107.5975451,Lurus,SIANG,JUMAT,22-04-2022 12:00,123,661,71,855,0.20,1.95,80.25,47.44,47.71,14,370
SP. M TOHA,-6.948332,107.609386,Belok kiri,PAGI,KAMIS,21-04-2022 07:00,840,290,90,1220,0.03,2.12,40.00,34.06,47.71,12.5,370
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,SIANG,RABU,13-04-2022 12:00,211,492,134,837,1.95,12.52,58.25,21.06,47.71,14,370
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,SIANG,MINGGU,10-04-2022 12:00,185,246,161,592,6.13,10.45,43.75,20.06,47.67,7.2,370
SP. PASTEUR,-6.892133857,107.5811173,LURUS,PAGI,SELASA,12-04-2022 7:00,155,870,116,1141,0.18,3.48,41.50,29.38,47.63,14,370
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,JUMAT,15-04-2022 12:00,178,394,70,642,2.09,7.71,30.00,21.71,47.63,21,370
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SABTU,16-04-2022 16:00,573,1066,82,1721,1.02,9.96,29.25,10.75,47.63,21,370
SP. CIBEREUM,-6.917224,107.574382,BELOK KIRI,PAGI,JUMAT,08-04-2022 7:00,776,364,58,1198,0.37,1.55,34.25,21.44,47.62,9.5,370
